Date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,average,Label2,Label3
2017-12-31,Weather in Argentina Continues to be Worrisome,Wet Weather in Parana making it difficult to control Soybean Rust,Cotton Acreage in Mato Grosso expected to increase 15.8%,,,,,,,,"3,52",0,0
2018-01,Brazil Soybeans 6.4% Harvested Mato Grosso 20% Harvested,50-60% of Soybeans in Argentina at Risk from Dry Weather,Soybean Pod Shedding in Brazil Explained (maybe),Forward Soybean Sales have been slow in Brazil,Dryer Weather in Brazil beneficial for early Soybean Harvest,Weather in Uruguay has been inconsistent for Soybean Production,Soybean Pods Dropping of Plants in Parana for Unknown Reason,Conventional Soy (non-GMO) maintains Niche Market in Brazil,Parana has 52% of all the Confirmed Cases of Soybean Rust in Brazil,Brazilian Farmers Moving Old Crop Corn to make room for Soy,"9,62",0,-1
2018-01,Safrinha Corn in Brazil 10.6% Planted Mato Grosso 16% Planted,Argentina Corn Crop being impacted by Hot and Dry Conditions,Crops in Uruguay being impacted by Hot and Dry Weather,Hot and Dry Conditions could impact Crops in Argentina,New Route to Import Corn from Paraguay into Southern Brazil,Forward Soybean Sales have been slow in Brazil,Weather in Uruguay has been inconsistent for Soybean Production,Brazilian Farmers Moving Old Crop Corn to make room for Soy,Brazilian Corn and Soybean Production Maps from Conab,Conab Increases Brazilian Soybean Estimate 1.2 Million Tons,"3,5",1,1
2018-01-03,Weather Favorable for Brazilian Soybean Crop,Wet Weather in Parana making it difficult to control Soybean Rust,Soybean Planting Extension in Parana criticized by Industry,Brazilian Corn Production yet to be Determined,Weather in Argentina Continues to be Worrisome,,,,,,"3,5",0,0
2018-01-06,"Brazilian States are hoping to be declared free of ""Foot and Mouth""",Soybean Planting Extension in Parana criticized by Industry,Weather Favorable for Brazilian Soybean Crop,Brazilian Corn Production yet to be Determined,Conab Increases Brazilian Soybean Estimate 1.2 Million Tons,Brazil's Soybean Harvest Delayed 10-15 Days compared to last year,Continued Dryness in Argentina remains a Concern,Early Safrinha Corn Planting Underway in Parana,Paraguay expected to Produce Good Soybean Crop,,"3,48",1,0
2018-01-09,Conab Increases Brazilian Soybean Estimate 1.2 Million Tons,Paraguay expected to Produce Good Soybean Crop,IBGE and Conab differ on their Brazilian Crop Estimates,Brazilian Corn Production yet to be Determined,"Brazilian States are hoping to be declared free of ""Foot and Mouth""",Early Safrinha Corn Planting Underway in Parana,Weather Favorable for Brazilian Soybean Crop,Brazil's Soybean Harvest Delayed 10-15 Days compared to last year,Continued Dryness in Argentina remains a Concern,,"3,48",1,0
2018-01-18,Dry Weather becoming very worrisome in Argentina,Dryer Weather in Brazil beneficial for early Soybean Harvest,Weather in Uruguay has been inconsistent for Soybean Production,Soybean Pods Dropping of Plants in Parana for Unknown Reason,Conventional Soy (non-GMO) maintains Niche Market in Brazil,Brazilian Farmers Moving Old Crop Corn to make room for Soy,Parana has 52% of all the Confirmed Cases of Soybean Rust in Brazil,,,,"3,53",1,1
2018-01-21,Dry Weather becoming very worrisome in Argentina,Cotton Planting off to a slow start in Mato Grosso,Soybean Pods Dropping of Plants in Parana for Unknown Reason,Forward Soybean Sales have been slow in Brazil,New Route to Import Corn from Paraguay into Southern Brazil,Weather in Uruguay has been inconsistent for Soybean Production,Dryer Weather in Brazil beneficial for early Soybean Harvest,,,,"3,54",1,1
2018-01-24,Weather in Uruguay has been inconsistent for Soybean Production,Soybean Pod Shedding in Brazil Explained (maybe),Forward Soybean Sales have been slow in Brazil,Ex-President Lula's Corruption Conviction Upheld in Brazil,New Route to Import Corn from Paraguay into Southern Brazil,Brazil's Financial Markets responded positively to Lula's Conviction,Cotton Planting off to a slow start in Mato Grosso,Dryer Weather in Brazil beneficial for early Soybean Harvest,,,"3,58",1,0
2018-01-27,Soybean Pod Shedding in Brazil Explained (maybe),"After 2-3 Weeks of Dryer Weather, much Wetter Forecast for Brazil",Ex-President Lula's Corruption Conviction Upheld in Brazil,Hot and Dry Conditions could impact Crops in Argentina,Traffic Problems develop again on BR-163 in Northern Brazil,Brazil's Financial Markets responded positively to Lula's Conviction,After 2-3 Weeks of Dryer Weather much Wetter Forecast for Brazil,,,,"3,61",1,0
2018-02,2017/18 Brazil Soybean Crop 35% Harvested Farmers Encouraged,Argentina Soybeans Estimates Declining,Buenos Aires Grain Exchange Slashes Soybean Production Estimate,Soybean Production in Uruguay also impacted by Dry Weather,Brazilian Soybean Crop 25% Harvested,Argentine Soybean Estimate Continues to Decline,83% of Mato Grosso's Cotton is Safrinha Production,Crop Estimates in Argentina Continue to Decline,Brazil Soybeans 26% Harvested slowed by Wet Weather,Argentina Soybeans at Risk from Hot and Dry Conditions,"9,82",1,1
2018-02,2017/18 Brazil Safrinha Corn 63% Planted,Argentina Corn 3.2% Harvested Yields Dissapoint,Buenos Aires Grain Exchange Slashes Soybean Production Estimate,Soybean Production in Uruguay also impacted by Dry Weather,Brazilian Safrinha Corn Crop is 43% Planted,Argentine Soybean Estimate Continues to Decline,83% of Mato Grosso's Cotton is Safrinha Production,Mexico Cracks Open the Door for Corn Imports from Brazil,Crop Estimates in Argentina Continue to Decline,Planting of the Safrinha Corn in Brazil Proceeding Slowly,"3,55",1,1
2018-02-02,Brazilian Farmers Face Higher Transport Costs and Problems,Safrinha Corn in Brazil 10.6% Planted Mato Grosso 16% Planted,"Brazil Soybeans 6.4% Harvested, Mato Grosso 20% Harvested",Traffic Problems develop again on BR-163 in Northern Brazil,Argentina Corn Crop being impacted by Hot and Dry Conditions,"Soy Harvest in Parana under way, Early Yields lower than Last Year",Soy Harvest in Parana under way Early Yields lower than Last Year,"Safrinha Corn in Brazil 10.6% Planted, Mato Grosso 16% Planted",50-60% of Soybeans in Argentina at Risk from Dry Weather,Crops in Uruguay being impacted by Hot and Dry Weather,"3,63",1,0
2018-02-08,Weekend Rains Disappoint in Argentina Dryness Returns,"Brazilian Full-Season Corn 11% Harvested, Safrinha 15% Planted",1.5% of Brazil's Ethanol Production is from Corn and Growing,"Soy Harvest in Parana under way, Early Yields lower than Last Year","Brazilian Soybeans 10% Harvested, Pace in Parana Very Slow",Brazilian Full-Season Corn 11% Harvested Safrinha 15% Planted,Soy Harvest in Parana under way Early Yields lower than Last Year,"Weekend Rains Disappoint in Argentina, Dryness Returns",Brazilian Farmers Face Higher Transport Costs and Problems,Brazilian Soybeans 10% Harvested Pace in Parana Very Slow,"3,66",1,0
2018-02-11,Port of Concepcion in Central Paraguay to Increase Soybean Exports,Weekend Rains Disappoint in Argentina Dryness Returns,Embrapa Releases New Soybean Variety more Resistant to Soy Rust,"Weekend Rains Disappoint in Argentina, Dryness Returns",BR-163 in Northern Brazil Reopened to Traffic (at least for now),Brazilian Full-Season Corn 11% Harvested Safrinha 15% Planted,"Brazilian Full-Season Corn 11% Harvested, Safrinha 15% Planted",Soybean Harvest Slowed in Mato Grosso due to Wet Weather,"Brazilian Soybeans 10% Harvested, Pace in Parana Very Slow",Brazilian Soybeans 10% Harvested Pace in Parana Very Slow,"3,67",0,0
2018-02-14,"Exports from Brazil's ""Northern Arc"" of Ports up 71% in 2017",Hot and Dry Conditions Continue to Impact Argentine Corn,"Brazilian Full-Season Corn 11% Harvested, Safrinha 15% Planted",Embrapa Releases New Soybean Variety more Resistant to Soy Rust,Brazilian Full-Season Corn 11% Harvested Safrinha 15% Planted,"Exports from Brazil\'s ""Northern Arc"" of Ports up 71% in 2017",Brazilian Soybeans 10% Harvested Pace in Parana Very Slow,"Brazilian Soybeans 10% Harvested, Pace in Parana Very Slow",Soybean Harvest Slowed in Mato Grosso due to Wet Weather,Port of Concepcion in Central Paraguay to Increase Soybean Exports,"3,67",1,0
2018-02-17,Second Corn-Based Ethanol Plant Scheduled for Mato Grosso,Planting of the Safrinha Corn in Brazil Proceeding Slowly,"Exports from Brazil's ""Northern Arc"" of Ports up 71% in 2017","Brazil Soybeans 26% Harvested, slowed by Wet Weather","Exports from Brazil\'s ""Northern Arc"" of Ports up 71% in 2017",Brazil's Biodiesel will go from B8 to B10 in March,Argentina Soybeans at Risk from Hot and Dry Conditions,Crop Estimates in Argentina Continue to Decline,Hot and Dry Conditions Continue to Impact Argentine Corn,Brazil Soybeans 26% Harvested slowed by Wet Weather,"3,66",1,1
2018-02-20,Mexico Cracks Open the Door for Corn Imports from Brazil,"Brazil Soybeans 26% Harvested, slowed by Wet Weather",Argentina Soybeans at Risk from Hot and Dry Conditions,Crop Estimates in Argentina Continue to Decline,Hot and Dry Conditions Continue to Impact Argentine Corn,Planting of the Safrinha Corn in Brazil Proceeding Slowly,Second Corn-Based Ethanol Plant Scheduled for Mato Grosso,Brazil Soybeans 26% Harvested slowed by Wet Weather,Brazil's Biodiesel will go from B8 to B10 in March,,"3,68",1,1
2018-02-23,Brazilian Soybean Crop 25% Harvested,Argentine Soybean Estimate Continues to Decline,Mexico Cracks Open the Door for Corn Imports from Brazil,Soybean Production in Uruguay also impacted by Dry Weather,Brazilian Safrinha Corn Crop is 43% Planted,Crop Estimates in Argentina Continue to Decline,92% of Farmers in Argentina Expect Below Average Yields,83% of Mato Grosso's Cotton is Safrinha Production,,,"3,76",1,1
2018-02-26,Buenos Aires Grain Exchange Slashes Soybean Production Estimate,Brazilian Soybean Crop 25% Harvested,Mexico Cracks Open the Door for Corn Imports from Brazil,Soybean Production in Uruguay also impacted by Dry Weather,Argentine Soybean Estimate Continues to Decline,92% of Farmers in Argentina Expect Below Average Yields,Brazilian Safrinha Corn Crop is 43% Planted,83% of Mato Grosso's Cotton is Safrinha Production,,,"3,8",1,1
2018-03,Soy Harvest Complete in Mato Grosso Brazil 71% Harvested,Industrialization is the Cure for Low Corn Prices in Mato Grosso,Brazil could increase Irrigated Crop Acreage 65% in Six Years,Brazil Soy Crop 65% Harvested Yields Good in Rio Grande do Sul,Early Soy Yields in Argentina are Highly Variable 11 to 72 bu/ac,Farmers in NE Brazil could Harvest Record Soybean Yields,Rains Benefit Soybeans in Rio Grande do Sul in Southern Brazil,Rains Offer Limited Help to Soy Crop in Argentina More Needed,2017/18 Brazil Soybean Crop Approaching 50% Harvested,Conab Increases Brazilian Soy Estimates and Trims Corn Estimate,"10,35",1,1
2018-03,Safrinha Corn in Excellent condition in central Mato Grosso,Argentina Crops Received some rain but more is Needed,Brazil may Import Corn from U.S. and Argentina,Industrialization is the Cure for Low Corn Prices in Mato Grosso,Brazil could increase Irrigated Crop Acreage 65% in Six Years,Barge Operator to Truck Grain out of Mato Grosso to the Amazon,Brazil's Safrinha Corn Crop Planting Nearly Complete,Argentina Corn 13.3% Harvested Rains Disappoint Again,Safrinha Corn Planting Complete in Mato Grosso,Safrinha Corn in Brazil 92% Planted Rated in Good Condition,"3,72",1,1
2018-03-01,2017/18 Brazil Soybean Crop 35% Harvested Farmers Encouraged,Argentina Soybeans Estimates Declining,Argentina Corn 3.2% Harvested Yields Dissapoint,"2017/18 Brazil Soybean Crop 35% Harvested, Farmers Encouraged",92% of Farmers in Argentina Expect Below Average Yields,Crop Situation in Argentina continues to Deteriorate,Buenos Aires Grain Exchange Slashes Soybean Production Estimate,"Argentina Corn 3.2% Harvested, Yields Dissapoint",Soybean Production in Uruguay also impacted by Dry Weather,2017/18 Brazil Safrinha Corn 63% Planted,"3,87",1,0
2018-03-04,Brazil Launches New Program to Upgrade Meat Testing Standards,Conab Increases Brazilian Soy Estimates and Trims Corn Estimate,Argentina Soybeans Estimates Declining,Argentina Corn 3.2% Harvested Yields Dissapoint,2017/18 Brazil Safrinha Corn 63% Planted,Crop Situation in Argentina continues to Deteriorate,"2017/18 Brazil Soybean Crop 35% Harvested, Farmers Encouraged",2017/18 Brazil Soybean Crop 35% Harvested Farmers Encouraged,Comprehensive Infrastructure Study Released by Brazilian Gov.,"Argentina Corn 3.2% Harvested, Yields Dissapoint","3,89",0,0
2018-03-07,Recent Rains Disappoint again in Argentina,Port of Paranagua in Southern Brazil loads Largest Grain Vessel,Lack of Trucks to Haul Grain Worries Farmers in Eastern Goias,Conab Increases Brazilian Soy Estimates and Trims Corn Estimate,"2017/18 Brazil Soybean Crop 35% Harvested, Farmers Encouraged",Comprehensive Infrastructure Study Released by Brazilian Gov.,Brazil Launches New Program to Upgrade Meat Testing Standards,2017/18 Brazil Safrinha Corn 63% Planted,2017/18 Brazil Soybean Crop 35% Harvested Farmers Encouraged,,"3,91",0,-1
2018-03-22,Farmers in NE Brazil could Harvest Record Soybean Yields,CNA Study Highlights Brazil's Inefficient Transportation Systems,"Argentina Corn 13.3% Harvested, Rains Disappoint Again",Brazil Soy Crop 65% Harvested Yields Good in Rio Grande do Sul,Safrinha Corn Planting Complete in Mato Grosso,Brazil's Safrinha Corn Crop Planting Nearly Complete,"Brazil Soy Crop 65% Harvested, Yields Good in Rio Grande do Sul",Argentina Corn 13.3% Harvested Rains Disappoint Again,Drought results in Significant Crop Loses in Cordoba Argentina,"Early Soy Yields in Argentina are Highly Variable, 11 to 72 bu/ac","3,75",1,1
2018-03-25,Barge Operator to Truck Grain out of Mato Grosso to the Amazon,"Argentina Corn 13.3% Harvested, Rains Disappoint Again","Brazil Soy Crop 65% Harvested, Yields Good in Rio Grande do Sul",Industrialization is the Cure for Low Corn Prices in Mato Grosso,Brazil Soy Crop 65% Harvested Yields Good in Rio Grande do Sul,Early Soy Yields in Argentina are Highly Variable 11 to 72 bu/ac,Brazil's Safrinha Corn Crop Planting Nearly Complete,Brazil could increase Irrigated Crop Acreage 65% in Six Years,CNA Study Highlights Brazil's Inefficient Transportation Systems,Argentina Corn 13.3% Harvested Rains Disappoint Again,"3,77",1,1
2018-03-28,Industrialization is the Cure for Low Corn Prices in Mato Grosso,"Argentina Crops Received some rain, but more is Needed","Brazil Soy Crop 65% Harvested, Yields Good in Rio Grande do Sul",Argentine Drought Featured on Brazilian TV,Barge Operator to Truck Grain out of Mato Grosso to the Amazon,Brazil may Import Corn from U.S. and Argentina,Brazil could increase Irrigated Crop Acreage 65% in Six Years,Brazil's Safrinha Corn Crop Planting Nearly Complete,Argentina Crops Received some rain but more is Needed,Brazil Soy Crop 65% Harvested Yields Good in Rio Grande do Sul,"3,84",1,0
2018-03-31,Soy Harvest Complete in Mato Grosso Brazil 71% Harvested,"Argentina Crops Received some rain, but more is Needed",Safrinha Corn in Excellent condition in central Mato Grosso,"Soy Harvest Complete in Mato Grosso, Brazil 71% Harvested",Argentina Crops Received some rain but more is Needed,Argentine Drought Featured on Brazilian TV,Brazil may Import Corn from U.S. and Argentina,,,,"3,87",1,0
2018-04,Brazil Safrinha Corn Continues to be impacted by Dry Weather,U.S. Planting Progress - Corn a little Slow Soybeans a little Ahead,Farmers in Mato Grosso are slow Sellers in Spite of Improved Prices,Wheat Production in South America could increase 5.9% in 2018,U.S. Corn Planting 17% Complete about a week slower than Average,Only 1.2% of Deforestation in Amazon Region due to Soy Production,Brazilian Soybean Farmers very Pleased with Strong Prices,Safrinha Corn in Southern Brazil being impacted by Dry Weather,Farmers in NE Brazil are very pleased with this Year's Production,Domestic Corn Prices Strengthen in Mato Grosso,"3,82",1,1
2018-04,U.S. Planting Progress - Corn a little Slow Soybeans a little Ahead,Farmers in Mato Grosso are slow Sellers in Spite of Improved Prices,Last Day to Harvest Soybeans in Mato Grosso was last Saturday,Wheat Production in South America could increase 5.9% in 2018,Dry Weather Negatively Impacting Safrinha Soybeans in Paraguay,Only 1.2% of Deforestation in Amazon Region due to Soy Production,Brazilian Soybean Farmers very Pleased with Strong Prices,Farmers in NE Brazil are very pleased with this Year's Production,Domestic Corn Prices Strengthen in Mato Grosso,Brazil Government Authorized the sale of One Million Tons of Corn,"10,35",0,0
2018-04-03,Safrinha Corn in Excellent condition in central Mato Grosso,"Argentina Crops Received some rain, but more is Needed","Soy Harvest Complete in Mato Grosso, Brazil 71% Harvested",Argentine Drought Featured on Brazilian TV,Soy Harvest Complete in Mato Grosso Brazil 71% Harvested,Argentina Crops Received some rain but more is Needed,,,,,"3,88",0,0
2018-04-06,Safrinha Corn Production in Central Brazil looks Good,Rains in Argentina coming too late for most Soybeans,Late Planted Corn in Argentina might be helped by Recent Rains,2017/18 Brazilian Soybean Crop over Three Quarters Harvested,Corn Prices in Mato Grosso do Sul could decline with Harvest,,,,,,"3,89",0,-1
2018-04-09,Safrinha Corn Production in Central Brazil looks Good,Rains in Argentina coming too late for most Soybeans,Corn Prices in Mato Grosso do Sul could decline with Harvest,2017/18 Brazilian Soybean Crop over Three Quarters Harvested,Conab Increases Soybean and Corn Estimates in April Report,Late Planted Corn in Argentina might be helped by Recent Rains,,,,,"3,88",0,-1
2018-04-12,"Safrinha Corn in Central Brazil is Good, Southern Brazil needs Rain",Conab Increases Soybean and Corn Estimates in April Report,Argentina Corn and Soybeans 25% Harvested Yields Disappoint,"Argentina Corn and Soybeans 25% Harvested, Yields Disappoint",Safrinha Corn in Central Brazil is Good Southern Brazil needs Rain,Brazil Soybean Farmers Benefit from potential Trade Dispute,Corn Prices in Mato Grosso do Sul could decline with Harvest,Paraguay may Export up to 2 Million Tons of Soybeans to Argentina,Buenos Aires Province declares Emergency in 27 Municipalities,,"3,84",0,0
2018-04-18,Dryer Weather in Southern Brazil could Impact Safrinha Corn,U.S. Corn Planting 5% (average is 14%) Soy 2% (average is 2%),Brazil Soybean Farmers Benefit from potential Trade Dispute,Soybeans in Southern Rio Grande do Sul Impacted by Drought,"Safrinha Corn in Central Brazil is Good, Southern Brazil needs Rain",Brazil to increase Meat Exports to Asia and Russia,More Cargo now moves by Barge than by Rail in Brazil,"U.S. Corn Planting 5% (average is 14%), Soy 2% (average is 2%)",Safrinha Corn in Central Brazil is Good Southern Brazil needs Rain,Soybean Prices remain Strong in Brazil,"3,8",1,1
2018-04-24,Dryer Weather in Southern Brazil could Impact Safrinha Corn,U.S. Corn Planting 5% (average is 14%) Soy 2% (average is 2%),Farmers in NE Brazil are very pleased with this Year's Production,Domestic Corn Prices Strengthen in Mato Grosso,Paraguay Farmers waiting for improved Moisture to Plant Wheat,Brazil Government Authorized the sale of One Million Tons of Corn,"U.S. Corn Planting 5% (average is 14%), Soy 2% (average is 2%)",Improved Weather in Argentina too Late for most Argentine Crops,,,"3,91",1,1
2018-04-27,Dry Weather Negatively Impacting Safrinha Soybeans in Paraguay,"U.S. Corn Planting 17% Complete, about a week slower than Average",Only 1.2% of Deforestation in Amazon Region due to Soy Production,Wheat Production in South America could increase 5.9% in 2018,Safrinha Corn in Southern Brazil being impacted by Dry Weather,Farmers in NE Brazil are very pleased with this Year's Production,Brazilian Soybean Farmers very Pleased with Strong Prices,U.S. Corn Planting 17% Complete about a week slower than Average,,,"4,03",1,0
2018-05,Soybean Prices Rise in Brazil Fueled largely by Weaker Currency,2018 U.S. Crops off to a Strong Start,Safrinha Corn Harvest starting in Mato Grosso,Analyst Lower their 2017/18 Brazilian Corn Estimates,Brazilian Farmers are finally selling their Wheat at a Profit,Brazilian Organizations Criticize Increased Freight Rates,Rosario Grain Exchange lowers their Argentine Crop Estimates,Brazil Corn Estimates Decline in Spite of first Rainfall in Weeks,2018 U.S. Planting Pace - Corn now Average Soybeans Advanced,Weaker Brazilian Currency results in Improved Soy Prices,"3,92",1,1
2018-05,Soybean-Free Period takes effect in Central Brazil next Week,Soybean Prices Rise in Brazil Fueled largely by Weaker Currency,Brazilian Farmers are finally selling their Wheat at a Profit,Brazilian Organizations Criticize Increased Freight Rates,Brazil Corn Estimates Decline in Spite of first Rainfall in Weeks,2018 U.S. Planting Pace - Corn now Average Soybeans Advanced,Soybean Stem Fly found in Central Brazil for the First Time,Weaker Brazilian Currency results in Improved Soy Prices,Uruguay Soybean Production down 61% due to Severe Drought,Argentina's Soybeans Negatively Impacted by Wet Weather,"10,38",0,0
2018-05-03,U.S. Planting Progress - Corn a little Slow Soybeans a little Ahead,Damaged Berth at Argentine Port may take 18 Months to Repair,Dry Weather Negatively Impacting Safrinha Soybeans in Paraguay,Farmers in Mato Grosso are slow Sellers in Spite of Improved Prices,"U.S. Planting Progress - Corn a little Slow, Soybeans a little Ahead",Last Day to Harvest Soybeans in Mato Grosso was last Saturday,Wheat Production in South America could increase 5.9% in 2018,Brazilian Millers may need to Import U.S. Wheat,Brazil Safrinha Corn Continues to be impacted by Dry Weather,,"4,04",0,0
2018-05-09,"Brazil Safrinha Corn only Received Light Rain, More Needed",Damaged Berth at Argentine Port may take 18 Months to Repair,Brazil Safrinha Corn only Received Light Rain More Needed,Brazil Safrinha Corn Continues to be impacted by Dry Weather,U.S. Planting - Corn Slightly Slow Soybeans Ahead of Average,Conab Increases Brazilian 2017/18 Soybean and Corn Estimates,Brazil Soy Harvest nearly complete Farmers have sold 64% of Crop,"U.S. Planting - Corn Slightly Slow, Soybeans Ahead of Average","Brazil Soy Harvest nearly complete, Farmers have sold 64% of Crop",Farmers in Parana must Harvest all their Soybeans by May 15th,"4,0",1,0
2018-05-21,2018 U.S. Planting Pace - Corn now Average Soybeans Advanced,"2018 U.S. Planting Pace - Corn now Average, Soybeans Advanced",Initial Impact of Truck Strike on Brazilian Agriculture Sector,Soybean Stem Fly found in Central Brazil for the First Time,Brazil declared Free of Foot and Mouth Disease,Meat Processors in Brazil Suspend Operations due to Truck Strike,Brazil Corn Estimates Decline in Spite of first Rainfall in Weeks,Weaker Brazilian Currency results in Improved Soy Prices,Rosario Grain Exchange lowers their Argentine Crop Estimates,,"4,05",0,-1
2018-05-24,Spring Planting in U.S. Finishing Ahead of the Average Pace,Rosario Grain Exchange lowers their Argentine Crop Estimates,Meat Processors in Brazil Suspend Operations due to Truck Strike,Truck Driver Strike in Brazil had a Huge Impact on the Economy,Argentine Farmers Upset over Proposed Tax Hikes,Brazil declared Free of Foot and Mouth Disease,,,,,"4,01",0,-1
2018-06,Conab lowers Brazil's Safrinha Corn Estimate 2.2 mt in July Report,U.S. Corn Condition Declines Slightly Soybeans Unchanged,U.S. Corn Condition Declines 1% Soybeans Decline 2%,Freight Dispute continues to cause Havoc with Brazilian Grain Trade,June Planted Report offers few Surprises,Agroconsult lowers Brazilian Corn Estimate,Corn Deficits Worry Livestock Producers in Southern Brazil,2018 U.S. Crops Continue to be Rated Very Good,U. S. Corn Condition Declines Slightly Soybeans Unchanged,Grain Trade in Brazil has been Minimal for more than Three Weeks,"3,93",0,0
2018-06,Conab lowers Brazil's Safrinha Corn Estimate 2.2 mt in July Report,U.S. Corn Condition Declines Slightly Soybeans Unchanged,Argentina could Import 6 Million Tons of Soybeans from Paraguay,U.S. Corn Condition Declines 1% Soybeans Decline 2%,June Planted Report offers few Surprises,U. S. Corn Condition Declines Slightly Soybeans Unchanged,Soybeans are being used in Sugarcane Renovation in Sao Paulo,U.S. Corn Condition Improves Slightly Soybeans Decline Slightly,Best Way to Control Soybean Rust is Multipronged Approach,Conab Increases Soybean Estimate and Lowers Corn Estimate,"10,09",0,-1
2018-06-02,Analyst Lower their 2017/18 Brazilian Corn Estimates,Soybean-Free Period takes effect in Central Brazil next Week,Safrinha Corn Harvest starting in Mato Grosso,Soybean Prices Rise in Brazil Fueled largely by Weaker Currency,Brazilian Farmers are finally selling their Wheat at a Profit,2018 U.S. Crops off to a Strong Start,Brazilian Government Releases its 2018/19 Harvest Plan,Brazilian Meat Processing slowly returning to Normal Rhythm,,,"3,79",0,-1
2018-06-05,Brazilian Farmers are finally selling their Wheat at a Profit,2018 U.S. Crops off to a Strong Start,Analyst Lower their 2017/18 Brazilian Corn Estimates,Volatility is the Name of the Game for the Brazilian Currency ,Soybean-Free Period takes effect in Central Brazil next Week,Safrinha Corn Harvest starting in Mato Grosso,Soybean Prices Rise in Brazil Fueled largely by Weaker Currency,Brazilian Government Releases its 2018/19 Harvest Plan,Volatility is the Name of the Game for the Brazilian Currency,,"3,77",0,-1
2018-06-08,Volatility is the Name of the Game for the Brazilian Currency ,Conab Increases Soybean Estimate and Lowers Corn Estimate,Dispute over Freight Rates slows Grain Exports from Brazilian Ports,2018 U.S. Crop Conditions Decline Slightly,Brazilian Pork could benefit from U.S. and Mexico Dispute,Volatility is the Name of the Game for the Brazilian Currency,China Claims Anti-Dumping against Brazilian Poultry Exports,Crop Acreage Estimates for 2018/19 in South America,Brazilian Government Releases its 2018/19 Harvest Plan,,"3,72",0,-1
2018-06-11,Dispute over Freight Rates slows Grain Exports from Brazilian Ports,China Claims Anti-Dumping against Brazilian Poultry Exports,Brazilian Pork could benefit from U.S. and Mexico Dispute,Best Way to Control Soybean Rust is Multipronged Approach,Crop Acreage Estimates for 2018/19 in South America,2018 U.S. Crop Conditions Decline Slightly,Volatility is the Name of the Game for the Brazilian Currency,Conab Increases Soybean Estimate and Lowers Corn Estimate,Volatility is the Name of the Game for the Brazilian Currency ,,"3,69",0,-1
2018-06-20,U. S. Corn Condition Declines Slightly Soybeans Unchanged,Unresolved Freight Rate Issue Complicates Logistics in Brazil,Grain Trade in Brazil has been Minimal for more than Three Weeks,High Temps last Weekend probably did not cause Many Problems,Safrinha Corn Harvest Getting Underway in Brazil,Soybeans are being used in Sugarcane Renovation in Sao Paulo,Uncertain Freight Rates slows Grain Marketing in Brazil,"U. S. Corn Condition Declines Slightly, Soybeans Unchanged",Livestock Producers in Brazil still feeling Impact of Truck Strike,,"3,55",0,0
2018-06-23,Grain Trade in Brazil has been Minimal for more than Three Weeks,Brazil to Surpass Australia in 2018 as Third Largest Cotton Exporter,"U. S. Corn Condition Declines Slightly, Soybeans Unchanged",Corn Deficits Worry Livestock Producers in Southern Brazil,2018 U.S. Crops Continue to be Rated Very Good,Unresolved Freight Rate Issue Complicates Logistics in Brazil,U. S. Corn Condition Declines Slightly Soybeans Unchanged,Agroconsult lowers Brazilian Corn Estimate,,,"3,54",0,0
2018-06-26,Brazil to Surpass Australia in 2018 as Third Largest Cotton Exporter,U. S. Corn Condition Declines Slightly Soybeans Unchanged,Corn Deficits Worry Livestock Producers in Southern Brazil,June Planted Report offers few Surprises,2018 U.S. Crops Continue to be Rated Very Good,Grain Trade in Brazil has been Minimal for more than Three Weeks,"U. S. Corn Condition Declines Slightly, Soybeans Unchanged",Agroconsult lowers Brazilian Corn Estimate,,,"3,53",1,0
2018-07,Trip Report - Iowa and Northern Illinois,Brazilian Farmers may Plant 3-4% more Soybeans in 2018/19,Safrinha Corn Production in Brazil continues to Disappoint,Forward Selling Slow in Brazil due to Uncertainty over Freight Rates,Flower Prices Increase in Brazil due to Higher Freight Rates,High Freight Rates increase Cost of Producing Crops in Mato Grosso,Conventional Soybeans (non-GMO) continue to find a niche in Brazil,Brazilian Farmers concerned about lost Sales Opportunities,U.S. Corn Condition Steady Soybean Condition Improves,Brazilians may be missing Selling Opportunity due to Freight Dispute,"8,8",0,-1
2018-07,Safrinha Corn Harvest in Parana approaching 50% Complete,Trip Report - Iowa and Northern Illinois,More Corn-based Ethanol to come online in Brazil,Crops in Santa Cruz region of Bolivia suffering from Severe Drought,Safrinha Corn Production in Brazil continues to Disappoint,August Weather will determine Final 2018 U.S. Corn Yield,Forward Selling Slow in Brazil due to Uncertainty over Freight Rates,Flower Prices Increase in Brazil due to Higher Freight Rates,Safrinha Corn Harvest in Brazil reaches 50%,High Freight Rates increase Cost of Producing Crops in Mato Grosso,"3,55",0,-1
2018-07-02,U.S. Corn Condition Declines 1% Soybeans Decline 2%,Argentina could Import 6 Million Tons of Soybeans from Paraguay,Brazilian Congress holds Hearing on Controversial Freight Rates,Mexico poised to start Importing Brazilian Pork,June Planted Report offers few Surprises,Freight Dispute continues to cause Havoc with Brazilian Grain Trade,"U.S. Corn Condition Declines 1%, Soybeans Decline 2%",,,,"3,53",0,-1
